Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
20,80,66,65,3,270,73,335,76,67,16.34123920227253
21,77,69,65,1,318,67,341,78,66,15.955576721460545
22,78,74,64,1,336,78,351,78,55,16.34123920227253
18,65,62,62,1,121,47,202,15,7,14.346138809026444
20,74,68,58,1,319,65,321,72,56,16.012735135300492
22,78,70,69,1,348,77,358,75,64,15.60727002719233
21,69,59,54,1,284,68,339,66,52,16.012735135300492
21,79,70,61,1,343,69,370,78,58,16.06680235657077
22,76,72,77,1,355,79,393,78,77,16.300417207752275
20,77,66,67,1,283,64,317,77,71,16.06680235657077
18,76,64,59,1,297,64,339,74,59,15.068273526459642
21,73,67,57,1,300,72,352,69,55,16.588099280204055
26,86,83,80,3,323,83,383,87,80,17.576710673657836
28,82,77,83,2,355,85,394,84,82,17.24949776244942
26,87,79,76,4,290,83,364,87,75,17.96655046386292
27,71,60,79,1,329,84,411,77,81,16.759949537130716
28,78,72,78,2,332,85,420,76,77,17.073607095985757
24,78,68,52,1,303,57,309,80,53,16.811242831518264
25,82,78,71,2,359,76,337,84,68,16.90655301132259
25,74,65,58,2,339,66,346,75,59,16.38045991542581
24,69,50,71,1,307,72,371,71,73,15.096444403426338
23,77,66,77,1,333,79,386,80,78,16.588099280204055
24,81,77,70,3,380,85,405,79,60,16.860032995687696
22,68,65,47,1,306,55,315,72,44,16.166885815127753
24,83,64,64,1,289,67,318,78,61,15.201804919084164
22,77,68,65,1,284,67,287,77,68,15.60727002719233
25,57,53,37,2,287,51,312,62,30,16.733281290048552
26,79,78,72,3,369,89,415,85,64,18.298513109978156
22,77,72,64,1,351,67,323,78,66,16.25785759333348
24,78,82,69,2,336,78,370,83,64,16.785925023533974
23,63,60,41,1,291,57,317,65,40,15.955576721460545
23,69,61,33,1,324,27,280,73,33,16.759949537130716
23,77,57,73,1,282,73,339,77,79,15.955576721460545
24,73,67,50,1,322,56,328,78,49,16.733281290048552
21,76,70,74,1,309,77,371,78,76,16.34123920227253
22,67,62,38,1,284,45,302,69,34,15.89495209964411
23,70,64,77,1,308,78,388,76,82,16.883563493097892
22,80,73,64,1,325,66,287,80,63,16.34123920227253
24,78,79,53,2,316,70,351,79,41,16.972510979114386
21,63,44,67,1,280,73,343,63,67,14.346138809026444
21,73,70,55,1,339,49,276,74,53,15.424948470398375
21,75,69,70,1,327,77,380,73,67,16.06680235657077
20,76,60,70,1,287,77,355,76,69,15.226497531674536
22,79,74,71,1,270,75,331,75,74,16.883563493097892
22,68,61,32,1,298,26,266,69,32,16.012735135300492
20,51,46,32,1,242,49,310,55,27,14.978661367769956
20,54,47,31,1,223,48,287,63,28,15.096444403426338
21,75,71,60,1,336,71,357,77,58,15.955576721460545
22,51,54,28,1,268,43,257,62,23,16.213405830762646
21,69,62,71,1,287,72,367,72,73,15.520258650202699
22,71,64,47,1,333,49,328,75,48,16.811242831518264
21,74,66,72,1,293,71,352,72,74,15.250595083253597
20,74,70,55,1,330,63,329,74,52,16.556350581889475
19,68,53,68,1,258,68,350,68,71,15.068273526459642
23,75,72,70,1,314,70,313,77,72,15.955576721460545
19,75,68,67,1,276,73,326,74,66,15.29711509888849
20,77,62,68,1,263,68,330,74,73,15.424948470398375
19,74,67,52,1,307,55,299,75,51,15.096444403426338
17,55,48,33,1,205,42,271,51,26,13.790192749979985
17,64,63,51,1,288,53,274,62,49,13.623138665316818
24,56,50,35,1,262,54,312,55,30,15.830413578506539
17,58,57,41,1,251,58,300,62,36,14.346138809026444
20,75,72,67,1,310,53,315,78,75,16.012735135300492
30,81,89,77,3,335,84,343,90,72,17.356469882001587
29,84,85,77,2,316,82,348,90,75,17.529082624668582
30,73,79,73,3,400,88,432,79,64,18.269857854217783
29,85,82,83,3,170,62,248,38,16,17.4264284706085
29,65,68,57,3,360,82,377,73,48,16.67771143889374
30,81,84,67,2,400,71,343,87,64,17.516812532076766
26,84,78,84,3,337,87,368,82,85,17.64415195445337
30,72,75,67,2,374,79,384,75,60,16.860032995687696
22,66,72,64,1,319,84,379,72,57,16.454567887579532
21,69,65,62,1,336,67,367,70,61,15.201804919084164
22,76,69,74,1,291,74,383,74,76,16.556350581889475
22,80,71,74,1,126,53,205,35,11,16.38045991542581
20,73,64,60,1,301,60,309,68,62,15.009433026436708
23,80,74,76,1,279,81,318,80,74,16.588099280204055
22,73,71,57,1,288,62,325,73,54,15.068273526459642
23,76,73,70,1,131,55,211,15,8,16.06680235657077
26,65,64,50,2,318,69,355,75,40,17.014183675514957
19,71,69,70,1,88,52,211,16,7,15.29711509888849
20,75,62,62,1,263,65,335,72,65,15.150511624696614
22,80,74,58,2,363,63,305,80,55,16.883563493097892
24,72,75,65,1,352,65,329,77,67,16.61887093887081
22,55,58,27,1,264,36,289,62,23,16.012735135300492
21,75,63,74,1,267,73,357,79,77,15.761420707019587
21,72,66,66,1,354,73,368,74,61,15.761420707019587
21,60,61,42,1,285,56,301,66,39,15.60727002719233
22,79,72,73,1,304,76,310,77,74,16.34123920227253
23,78,82,71,1,348,79,364,79,67,16.860032995687696
23,80,77,69,1,301,69,314,77,70,16.61887093887081
22,76,72,65,1,344,65,351,77,68,15.89495209964411
19,73,70,67,1,319,75,356,77,65,15.424948470398375
20,70,65,59,1,301,64,351,68,57,15.687312734865866
22,64,57,44,1,248,54,322,56,42,15.404745763080856
22,76,63,76,1,281,75,364,78,79,17.182806387950748
22,77,77,71,1,308,73,304,80,69,16.972510979114386
22,61,56,45,1,281,72,334,65,33,15.068273526459642
20,73,71,69,1,312,73,341,72,70,15.520258650202699
19,71,65,55,1,315,66,332,71,52,15.687312734865866
20,72,63,57,1,306,61,290,70,56,14.557447902693651
19,69,65,45,1,298,54,318,68,38,15.38412647587812
20,69,65,66,1,337,73,326,74,67,15.319587954740548
23,67,62,49,1,290,80,366,71,38,16.811242831518264
20,69,63,62,1,241,70,276,67,62,14.73180128983843
22,58,58,40,1,254,58,340,64,30,15.404745763080856
18,48,49,32,1,235,50,292,49,26,14.77102200299171
21,79,66,70,1,299,77,342,79,71,16.34123920227253
17,44,49,26,1,211,34,261,43,25,13.493926933836812
16,67,50,51,1,237,58,230,64,56,13.997832114758229
17,65,57,55,1,291,64,316,62,55,13.997832114758229
18,71,66,62,1,266,57,275,74,64,15.068273526459642
35,71,70,59,3,348,74,368,79,50,15.89495209964411
31,75,67,73,2,326,77,345,78,76,15.38412647587812
31,83,85,79,2,400,78,353,84,78,17.37085861945369
29,79,75,75,3,310,73,351,79,73,16.454567887579532
30,84,83,75,4,369,75,353,88,75,17.19990082131005
34,59,64,57,3,329,69,380,66,54,16.11809565095832
32,79,68,87,4,362,86,396,80,91,17.822843743196746
35,87,75,81,3,159,56,253,30,15,15.830413578506539
31,68,63,48,3,331,67,346,72,43,17.182806387950748
29,67,64,49,3,320,52,336,76,46,17.622173047734595
29,84,77,77,3,343,82,355,84,78,16.835935444108635
28,85,82,83,4,346,86,400,86,83,17.822843743196746
28,82,79,75,2,284,77,315,84,72,16.67771143889374
27,56,61,51,2,329,63,357,62,47,16.733281290048552
30,80,77,54,3,355,68,351,83,51,17.41282281855272
29,81,78,68,3,383,79,375,80,63,16.835935444108635
27,79,78,75,2,390,86,413,83,70,17.281246460764002
28,86,91,82,3,206,68,271,40,14,18.172219384653864
26,84,72,78,3,321,82,357,84,79,17.034386382832476
27,79,76,61,3,366,62,328,80,61,17.281246460764002
26,78,75,68,1,345,76,352,80,66,16.34123920227253
27,87,77,84,2,362,83,374,87,86,17.49181122987135
25,79,86,80,2,377,87,393,85,74,17.633222883921178
28,84,78,77,2,324,78,328,84,76,17.073607095985757
26,77,67,72,1,272,75,350,78,75,15.687312734865866
27,84,74,75,1,335,78,336,85,75,16.929025867174648
24,60,57,31,1,265,36,291,67,30,16.213405830762646
25,83,70,71,1,101,53,241,20,18,16.61887093887081
25,79,71,71,1,315,81,328,75,68,16.012735135300492
25,70,68,27,2,297,41,286,74,20,16.951004773893423
26,67,65,42,2,339,49,310,65,37,16.556350581889475
29,65,65,58,1,317,65,342,61,56,13.710150042306449
26,81,80,78,2,374,77,360,86,79,17.385043254445645
27,80,69,74,1,330,71,346,78,77,15.60727002719233
24,75,71,67,2,340,77,373,74,67,16.90655301132259
24,82,71,73,1,309,74,396,84,76,16.489659207390805
23,76,67,78,1,316,80,402,76,80,16.835935444108635
25,77,73,64,2,352,75,368,78,64,17.16541464523888
25,78,77,69,2,371,72,379,83,69,17.09265529095645
28,81,75,77,1,352,78,335,79,79,16.860032995687696
24,78,74,72,1,349,82,385,80,66,16.489659207390805
25,82,72,79,3,362,83,396,82,81,17.356469882001587
24,78,74,70,2,377,78,385,78,66,17.281246460764002
24,78,68,74,1,318,78,373,78,76,15.89495209964411
24,86,87,79,1,167,65,240,36,14,17.466168799258014
26,74,70,55,1,329,61,327,74,48,16.25785759333348
23,77,72,59,1,339,66,338,77,60,16.11809565095832
24,81,75,77,1,311,82,366,82,78,17.182806387950748
23,81,72,70,1,309,72,290,75,68,16.300417207752275
25,83,76,82,1,323,82,371,83,85,17.4264284706085
25,86,75,75,3,319,79,347,85,74,17.034386382832476
24,77,70,73,1,296,78,372,76,71,15.830413578506539
23,75,67,75,1,313,74,370,73,78,16.25785759333348
26,69,66,57,1,344,68,351,69,56,14.914122846632385
23,72,74,70,1,351,82,374,75,66,15.687312734865866
21,75,62,73,1,281,77,363,73,75,16.06680235657077
37,58,60,46,4,300,78,371,55,33,15.520258650202699
34,79,85,79,3,388,85,341,84,76,16.454567887579532
33,78,83,70,4,296,68,250,80,70,15.687312734865866
33,60,64,54,3,313,74,337,69,55,16.34123920227253
33,67,73,56,3,354,74,364,74,49,16.489659207390805
22,81,69,74,1,306,76,321,79,75,16.883563493097892
22,76,68,76,1,286,77,377,77,78,16.34123920227253
25,84,75,79,1,117,56,181,14,6,16.883563493097892
21,79,73,67,2,294,67,321,80,70,16.300417207752275
21,71,68,47,1,337,63,308,74,41,16.556350581889475
25,70,68,38,2,313,58,340,79,28,17.633222883921178
23,74,69,56,1,318,68,312,74,51,15.150511624696614
21,66,59,49,1,272,60,361,68,45,15.176487111099874
24,60,52,56,1,277,77,376,62,50,16.759949537130716
21,64,55,36,1,253,49,279,67,30,14.22097566607244
24,76,71,74,1,316,84,375,76,70,15.687312734865866
23,78,77,72,1,363,73,350,80,70,16.860032995687696
21,67,71,44,2,306,51,309,72,42,16.454567887579532
23,77,74,67,2,372,76,364,79,64,17.1296965626368
20,80,65,71,1,253,75,320,78,74,16.06680235657077
21,81,74,67,1,263,64,258,78,73,16.64872390202049
18,66,48,65,1,243,73,347,68,69,14.403297222866392
20,50,46,29,1,246,47,280,55,22,13.790192749979985
21,61,60,36,1,281,55,319,64,25,15.176487111099874
22,48,42,28,1,236,36,281,56,24,15.009433026436708
24,78,75,67,1,352,76,371,77,65,16.90655301132259
21,68,60,72,1,276,70,360,70,76,15.520258650202699
19,73,56,72,1,294,72,350,75,76,15.424948470398375
21,73,64,50,1,297,64,313,69,43,15.687312734865866
20,71,65,37,1,256,50,280,72,32,14.403297222866392
18,66,60,43,1,279,66,299,67,33,14.151982794585487
20,75,64,64,1,272,68,330,71,63,15.226497531674536
20,77,59,75,1,294,76,336,77,77,16.300417207752275
21,74,67,52,1,319,66,325,75,45,15.89495209964411
21,80,70,68,1,312,77,373,78,68,16.883563493097892
20,76,66,70,1,295,77,332,78,68,15.068273526459642
20,75,58,70,1,304,75,345,75,72,15.687312734865866
23,70,74,67,1,359,84,388,75,58,16.012735135300492
21,72,73,62,1,344,70,367,74,58,16.34123920227253
20,75,70,58,1,322,68,348,74,56,15.687312734865866
19,63,55,44,1,284,52,293,68,42,15.363073066680286
18,67,56,39,1,276,43,284,63,34,14.457364444136669
19,64,58,48,1,282,42,276,61,55,14.403297222866392
19,73,66,63,1,327,64,325,72,65,15.009433026436708
19,73,64,62,1,286,66,306,72,66,15.29711509888849
18,65,59,48,1,279,50,291,65,50,14.808762330974558
18,70,63,63,1,232,61,270,69,68,14.77102200299171
22,60,51,25,1,236,35,264,62,21,15.404745763080856
18,65,60,56,1,270,62,268,63,55,13.345506928718539
16,57,53,40,1,249,51,284,65,38,14.603967918328545
17,54,50,36,1,252,44,289,58,36,14.346138809026444
21,73,71,65,1,351,75,367,76,59,16.588099280204055
35,73,80,65,4,343,70,264,79,61,13.764217263576723
35,83,79,78,2,153,59,227,40,12,15.03928598958639
33,90,83,80,3,162,62,260,25,13,16.67771143889374
34,78,77,70,2,356,72,323,80,69,15.068273526459642
33,80,80,79,3,370,84,408,82,78,16.213405830762646
33,85,80,82,4,358,82,382,84,81,16.41820024340866
33,80,90,83,2,398,81,365,86,83,17.553180176247643
32,62,58,47,3,327,42,316,65,54,16.972510979114386
31,83,76,83,3,357,87,388,83,83,17.054189010128656
29,86,86,86,4,360,86,342,90,84,17.054189010128656
29,77,77,75,2,384,87,429,80,69,17.19990082131005
29,83,78,74,2,351,77,348,82,71,16.166885815127753
28,78,72,83,3,343,84,388,83,84,17.09265529095645
27,84,85,78,2,139,64,237,34,11,17.054189010128656
28,74,75,56,3,368,65,362,79,59,18.337299135013314
29,68,67,63,2,349,75,369,72,60,16.012735135300492
26,78,78,75,1,377,84,366,78,70,16.34123920227253
29,83,86,76,3,358,82,326,83,73,17.216707939626428
30,88,81,87,4,374,82,398,86,92,18.41566820212882
31,84,78,84,1,133,59,238,12,14,17.16541464523888
27,70,75,69,2,351,83,394,76,62,15.60727002719233
24,80,71,73,1,138,53,218,18,12,16.213405830762646
27,64,69,45,2,322,58,337,72,39,16.523560759066484
25,76,75,77,1,312,83,334,76,74,15.687312734865866
28,71,61,76,1,334,82,403,69,74,15.27412558066379
30,66,66,50,1,309,66,335,66,38,13.815510557964274
27,77,72,70,2,369,70,374,79,73,16.835935444108635
26,66,69,50,2,313,73,357,73,40,16.61887093887081
25,75,71,71,1,315,72,356,74,70,15.520258650202699
25,83,81,74,3,365,77,359,84,74,17.034386382832476
24,73,66,54,2,314,66,317,75,48,14.880221294956703
25,85,77,79,3,141,58,257,16,14,17.4264284706085
23,82,72,75,2,312,77,372,83,73,16.588099280204055
24,78,78,75,2,116,59,236,21,10,16.588099280204055
24,82,75,71,1,293,76,321,81,70,16.811242831518264
23,74,68,48,2,344,51,338,73,48,16.733281290048552
26,70,60,36,1,303,52,335,74,31,16.67771143889374
22,81,72,63,1,320,69,345,77,60,16.25785759333348
26,75,77,74,1,365,82,382,77,68,16.012735135300492
24,76,64,72,1,315,73,371,75,75,15.89495209964411
23,73,72,65,2,311,72,323,72,61,15.123843377614453
24,74,75,65,1,342,77,361,78,60,16.523560759066484
25,74,72,74,2,372,85,404,75,70,16.860032995687696
22,77,72,76,1,306,80,367,78,75,16.883563493097892
19,73,72,54,1,299,67,305,72,50,15.096444403426338
17,69,64,63,1,242,60,295,70,66,14.845129975145433
18,73,64,60,1,281,63,278,69,58,14.603967918328545
18,63,61,64,1,83,46,149,11,8,13.592367006650065
16,56,40,59,1,209,58,275,56,61,13.262125319779487
18,55,44,54,1,242,49,295,55,58,12.834681304952548
16,57,57,51,1,284,58,282,59,48,13.815510557964274
16,62,56,44,1,290,50,284,62,44,13.9108207377686
21,73,67,55,1,320,61,320,72,55,15.687312734865866
25,63,64,42,1,306,51,318,66,36,16.06680235657077
22,81,70,73,1,320,75,328,81,76,16.64872390202049
19,80,73,81,1,316,85,367,78,83,17.45309671769066
21,66,64,55,1,304,61,334,68,52,15.03928598958639
21,74,67,71,1,341,70,357,73,74,15.60727002719233
22,65,68,53,1,319,57,320,73,55,16.300417207752275
19,70,58,59,1,218,66,253,67,56,14.346138809026444
22,76,64,73,1,315,75,382,73,72,15.60727002719233
23,76,61,61,1,297,66,342,76,63,15.38412647587812
24,75,54,79,1,317,83,395,77,80,16.588099280204055
22,70,63,49,1,310,59,330,73,48,16.166885815127753
23,75,68,49,1,312,55,324,73,43,16.213405830762646
21,73,63,48,1,313,65,359,70,36,16.25785759333348
19,67,54,67,1,263,70,333,69,73,15.009433026436708
20,72,63,48,1,293,55,307,71,50,15.009433026436708
20,77,63,69,1,263,69,291,72,72,15.687312734865866
23,69,67,66,1,377,76,379,71,62,16.213405830762646
21,77,61,71,1,270,73,341,76,73,15.761420707019587
19,68,65,32,1,273,38,289,71,23,14.557447902693651
23,81,70,72,1,343,76,358,77,70,16.012735135300492
20,63,55,64,1,277,64,300,67,69,14.457364444136669
19,66,57,58,1,251,64,290,65,55,13.815510557964274
19,73,65,64,1,319,68,344,72,65,14.77102200299171
19,62,64,35,1,306,47,303,62,28,15.60727002719233
19,44,43,32,1,238,45,278,53,29,13.9108207377686
19,72,62,55,1,272,60,240,70,58,14.880221294956703
20,69,68,54,1,324,64,348,71,50,15.955576721460545
20,74,65,66,1,311,70,319,77,68,15.424948470398375
19,71,58,57,1,226,61,255,71,62,14.77102200299171
18,57,54,34,1,242,37,266,56,30,13.790192749979985
19,69,67,60,1,334,68,317,67,55,14.690979295318174
20,69,65,60,1,327,62,351,71,58,14.978661367769956
21,73,67,72,1,97,50,182,18,9,15.60727002719233
20,72,56,70,1,275,73,346,72,73,15.363073066680286
19,66,65,51,1,289,62,310,65,45,14.457364444136669
21,73,57,73,1,278,73,364,72,77,15.761420707019587
19,74,64,71,1,308,73,338,75,74,15.60727002719233
19,69,64,61,1,268,64,300,66,61,14.508657738524219
22,70,69,63,1,320,68,310,74,60,14.946912669455374
20,58,47,37,1,248,56,322,59,27,15.096444403426338
18,64,51,63,1,256,62,321,63,65,13.9108207377686
19,73,67,53,1,316,58,252,71,50,14.880221294956703
18,59,50,36,1,219,56,292,62,30,14.151982794585487
20,70,63,34,1,271,56,307,72,22,14.845129975145433
17,66,65,52,1,283,60,266,64,48,13.997832114758229
21,70,63,53,1,316,57,337,71,55,15.687312734865866
19,65,63,53,1,292,60,295,66,48,14.880221294956703
17,70,64,54,1,263,55,267,70,55,14.603967918328545
22,75,62,75,1,328,81,390,74,76,16.64872390202049
17,64,63,61,1,81,47,182,17,9,13.592367006650065
20,65,56,71,1,275,74,359,68,73,15.319587954740548
19,63,56,30,1,273,45,286,65,22,14.946912669455374
17,60,56,39,1,264,54,281,63,32,14.346138809026444
27,76,72,72,2,355,75,381,77,73,16.70588231586044
25,79,77,68,2,380,72,372,80,69,17.466168799258014
26,74,71,39,2,322,51,309,76,38,16.61887093887081
24,75,66,70,1,264,71,332,74,71,15.201804919084164
24,65,60,44,2,298,53,340,68,35,15.687312734865866
26,69,68,43,3,337,70,353,78,33,17.553180176247643
31,68,65,76,2,338,82,407,69,77,15.60727002719233
25,77,67,43,1,301,45,312,79,41,16.588099280204055
24,56,53,48,2,290,67,344,63,46,16.99356438831222
22,77,74,57,1,369,60,306,76,53,17.111347423968603
27,74,67,53,1,333,60,357,75,50,16.733281290048552
25,84,80,65,2,361,76,350,88,56,16.90655301132259
23,80,73,67,1,306,69,316,75,65,15.955576721460545
25,76,75,74,1,323,77,344,79,73,15.520258650202699
25,81,73,62,2,289,54,260,81,65,16.11809565095832
23,51,42,33,1,241,46,266,54,30,13.815510557964274
29,79,71,66,2,358,73,390,81,65,16.64872390202049
24,77,74,67,1,344,70,359,77,67,17.014183675514957
23,84,70,72,1,310,73,361,81,73,16.811242831518264
23,74,64,73,1,315,75,346,73,75,15.955576721460545
24,74,72,72,1,364,80,379,77,73,16.166885815127753
22,71,64,62,1,312,60,330,70,63,14.808762330974558
25,79,82,77,2,385,77,365,81,78,17.50439001207821
23,68,67,56,1,304,72,358,71,48,15.761420707019587
25,76,68,59,1,341,70,360,73,52,15.096444403426338
25,77,65,52,1,315,64,344,76,45,16.38045991542581
25,79,78,73,2,335,75,354,78,73,16.951004773893423
25,80,75,75,1,376,81,395,80,75,16.454567887579532
24,72,60,46,1,292,43,260,74,56,15.009433026436708
23,73,62,74,1,259,74,336,74,75,15.123843377614453
24,77,72,62,1,364,65,358,76,66,16.883563493097892
23,71,53,77,1,271,79,382,74,77,15.955576721460545
28,75,67,55,1,335,60,346,75,57,16.759949537130716
25,79,75,82,2,316,79,389,82,85,17.24949776244942
27,81,80,78,1,358,84,383,83,77,16.929025867174648
23,79,70,73,1,301,79,342,76,71,16.25785759333348
24,74,72,77,1,325,83,373,77,76,16.213405830762646
23,76,76,66,1,356,71,366,78,60,16.523560759066484
22,72,64,62,1,302,65,310,71,59,14.808762330974558
23,50,60,34,1,264,66,309,52,26,15.89495209964411
22,61,50,37,1,266,52,328,61,33,15.687312734865866
23,78,66,69,2,291,72,366,76,68,15.687312734865866
22,67,56,72,1,295,74,385,68,75,15.761420707019587
24,73,68,75,2,291,74,340,78,82,16.454567887579532
24,70,64,65,1,106,48,208,14,8,14.690979295318174
22,75,68,63,1,335,66,353,76,65,15.404745763080856
23,73,66,69,1,303,68,339,74,73,15.38412647587812
23,79,76,73,2,356,74,357,79,72,16.61887093887081
23,58,65,44,1,291,61,323,64,36,15.404745763080856
22,79,75,66,1,313,68,343,79,66,16.25785759333348
21,75,64,67,1,297,68,341,73,68,15.520258650202699
21,68,72,63,1,330,70,339,73,59,15.424948470398375
39,61,60,51,4,318,63,376,60,46,15.341566861459324
36,76,79,70,2,401,82,361,79,62,15.29711509888849
38,66,68,52,3,320,62,333,77,47,14.73180128983843
35,66,72,62,3,346,80,380,70,54,15.520258650202699
35,78,78,86,4,378,86,394,81,87,16.70588231586044
34,80,82,73,3,388,77,345,82,71,16.06680235657077
35,72,68,83,4,383,86,379,76,85,16.213405830762646
33,80,77,76,3,335,82,308,79,73,15.687312734865866
33,79,79,82,3,354,84,405,84,81,16.785925023533974
33,85,84,84,3,358,85,372,86,84,17.09265529095645
31,77,80,74,2,365,84,385,83,70,16.34123920227253
34,84,79,74,3,370,84,378,82,68,16.300417207752275
29,86,79,65,3,379,66,342,86,61,16.835935444108635
30,78,66,80,2,353,80,370,80,85,17.054189010128656
28,70,70,77,1,302,78,367,74,79,15.60727002719233
28,75,73,72,2,331,81,358,77,68,15.250595083253597
30,80,77,78,1,342,78,380,83,81,16.454567887579532
29,79,79,83,2,361,86,412,79,82,16.860032995687696
29,76,69,71,1,361,78,376,75,69,15.38412647587812
29,72,66,68,2,154,50,237,36,16,14.077874822431765
28,76,61,78,2,313,86,397,77,77,16.213405830762646
28,82,79,79,1,118,59,238,22,9,16.523560759066484
29,73,69,81,1,342,84,385,78,82,16.67771143889374
27,78,70,68,1,336,76,331,78,65,15.89495209964411
28,54,51,40,2,255,53,308,60,38,15.687312734865866
29,77,72,74,2,343,76,347,76,72,15.520258650202699
27,67,69,53,1,306,79,376,71,35,14.603967918328545
28,76,58,77,3,333,80,393,75,79,16.70588231586044
31,80,80,73,2,362,80,372,79,72,16.733281290048552
35,77,70,80,3,377,86,360,82,83,16.012735135300492
27,85,80,70,1,375,73,348,85,69,17.296750647299966
30,81,70,73,1,345,74,357,79,73,16.11809565095832
27,80,73,67,2,308,72,315,80,65,15.89495209964411
28,73,66,51,2,315,68,320,75,47,15.761420707019587
29,84,82,74,1,124,62,227,34,16,16.67771143889374
26,59,66,48,3,307,78,359,64,30,17.893048001869992
29,82,81,75,2,354,77,366,81,73,16.64872390202049
27,69,59,60,1,279,66,348,66,61,14.077874822431765
29,89,85,85,3,140,64,240,40,13,18.184958410431296
27,75,67,75,2,308,80,371,77,76,15.89495209964411
26,78,78,73,2,371,85,397,80,68,17.665658159674333
26,70,66,32,2,291,37,282,76,36,17.385043254445645
27,82,81,70,2,366,73,385,85,70,17.281246460764002
34,81,75,82,2,348,83,363,79,83,15.955576721460545
28,86,81,81,3,356,84,388,85,80,17.565014633894645
26,65,55,47,2,290,66,333,70,44,16.489659207390805
27,72,72,51,2,345,72,345,76,42,16.67771143889374
26,85,80,81,3,330,86,366,85,80,17.64415195445337
27,80,76,78,2,370,78,382,86,80,16.929025867174648
27,77,73,75,3,352,76,394,80,79,16.835935444108635
26,71,58,45,1,291,65,331,68,42,15.319587954740548
25,82,73,82,2,337,87,379,82,81,17.312018119430753
20,75,65,67,1,287,71,319,74,67,15.068273526459642
19,63,51,55,1,235,64,291,59,52,13.345506928718539
19,72,67,58,1,260,62,257,74,61,14.77102200299171
20,72,74,63,1,357,66,349,75,63,16.213405830762646
22,62,55,45,1,268,59,329,73,45,16.300417207752275
22,69,62,56,1,329,55,320,72,56,15.424948470398375
21,64,59,52,1,269,56,297,62,50,14.22097566607244
18,49,45,25,1,206,33,257,51,22,13.815510557964274
21,74,66,65,1,297,78,321,73,62,14.808762330974558
18,60,59,40,1,283,54,283,59,34,14.457364444136669
20,74,63,60,1,274,60,293,70,62,15.068273526459642
19,74,63,59,1,246,60,270,72,63,14.880221294956703
19,71,63,49,1,294,58,298,73,48,15.009433026436708
22,67,59,67,1,259,67,325,67,69,14.808762330974558
21,66,59,41,1,272,63,323,64,31,14.77102200299171
17,72,60,51,1,217,46,251,68,55,14.403297222866392
23,77,68,72,1,284,70,311,72,75,15.955576721460545
21,77,77,71,1,343,80,367,81,68,16.64872390202049
21,74,74,71,1,78,56,211,17,6,15.341566861459324
20,76,65,61,1,315,68,322,75,59,15.068273526459642
19,66,66,50,1,284,66,306,69,41,15.176487111099874
20,67,56,60,1,263,60,310,63,65,14.151982794585487
18,70,61,57,1,287,60,286,67,57,14.73180128983843
21,76,68,68,1,269,73,340,75,69,16.06680235657077
20,74,69,59,1,329,57,319,75,60,15.226497531674536
22,71,60,75,1,286,85,358,74,75,15.955576721460545
27,80,68,77,1,345,76,342,79,81,15.89495209964411
19,66,53,58,1,247,64,289,61,57,14.22097566607244
17,67,60,52,1,317,58,311,67,49,14.603967918328545
19,66,58,58,1,249,67,299,67,57,14.151982794585487
22,74,66,65,1,152,50,223,30,16,15.096444403426338
21,72,69,71,1,97,52,213,25,7,15.341566861459324
20,69,62,51,1,290,59,319,70,48,15.404745763080856
18,66,69,64,1,295,64,305,65,64,13.997832114758229
16,58,50,33,1,255,30,253,59,37,13.527828485512494
19,48,42,30,1,236,44,269,52,25,14.648419680899378
17,65,58,49,1,285,59,279,66,47,13.815510557964274
18,74,60,59,1,243,56,267,72,62,14.403297222866392
19,58,58,45,1,285,56,283,59,38,13.790192749979985
20,60,52,38,1,228,52,291,62,29,14.457364444136669
17,63,60,56,1,295,57,299,59,56,13.815510557964274
19,70,65,61,1,294,61,300,69,64,14.880221294956703
18,68,51,44,1,256,50,292,68,42,14.346138809026444
21,65,58,36,1,280,36,268,68,34,14.914122846632385
21,73,60,67,1,284,73,313,72,67,14.978661367769956
18,70,54,37,1,270,44,253,66,35,13.9108207377686
18,61,64,57,1,293,56,285,54,57,14.22097566607244
23,75,71,74,1,335,86,393,77,72,15.687312734865866
22,79,68,63,1,288,59,331,79,66,16.06680235657077
16,60,49,29,1,230,45,258,61,21,13.790192749979985
18,70,58,72,1,278,81,369,69,68,14.690979295318174
22,80,66,55,1,269,56,254,77,61,16.06680235657077
17,53,50,30,1,265,51,260,53,22,14.346138809026444
18,67,62,64,1,233,63,285,68,67,14.22097566607244
26,43,53,31,1,245,38,260,58,23,13.071070083016778
25,75,73,48,1,309,64,324,77,36,15.761420707019587
25,70,62,73,1,305,72,354,70,74,14.73180128983843
25,72,69,42,2,298,55,338,75,32,15.955576721460545
22,76,76,53,2,341,65,312,78,48,16.523560759066484
23,73,71,70,1,351,77,388,75,68,15.60727002719233
25,71,67,51,1,320,56,315,72,49,14.880221294956703
26,77,74,74,1,322,83,349,80,70,15.341566861459324
26,79,77,78,2,354,84,317,77,74,15.341566861459324
24,71,54,70,1,275,72,342,73,74,15.096444403426338
22,67,66,65,1,117,50,215,25,5,14.346138809026444
24,62,62,45,2,276,60,350,70,38,16.883563493097892
24,60,47,39,1,268,60,321,59,32,16.489659207390805
